"SiteID","dist.m","n","Total.seeds","seeds.m2","deliv.freq","Total.seeds.pico","seeds.m2.pico","deliv.freq.pico","Total.seeds.psme","seeds.m2.psme","deliv.freq.psme","Total.seeds.pien","seeds.m2.pien","deliv.freq.pien","Total.seeds.abla","seeds.m2.abla","deliv.freq.abla","Mean.stemarea.m2","Mean.Height.m","total.density.ha","Mean.stemarea.m2ha","mean.cones.ha","mean.nonser.cones.ha","Positioning","X20m.tree.dist","X50m.tree.dist","X100m.tree.dist","n.pico","Mean.stemarea.m2.pico","Mean.Height.m.pico","Mean.cones.pico","density.ha.pico","Mean.stemarea.m2ha.pico","mean.cones.ha.pico","mean.nonser.cones.ha.pico","area","min.slope.30","mean.slope.30","max.slope.30","min.TRI.30","mean.TRI.30","max.TRI.30","min.TPI.30","mean.TPI.30","max.TPI.30","min.roughness.30","mean.roughness.30","max.roughness.30"
"T12",75,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064114842085,21.768,900,57.7033578765,118191.6,118191.6,"Downslope","83.3",198,206,23,0.065128792625,22.2869565217391,140.134782608696,800,52.1030341,112107.826086957,112107.826086957,9.72872647372469,7.49750935981238,8.37979741884224,9.48564548695931,3.11611650254986,3.66770195855037,4.31019432915588,-1.68369157579173,-1.06304517957885,-0.656532762315237,10.9761675347222,11.863492476852,13.0098988172745
"T2",100,8,5,4.13359788359788,1,1,0.826719576719577,1,4,3.30687830687831,1,0,0,0,0,0,0,0.049410548695,21.252,800,39.528438956,103926.4,49884.672,"Upslope","36.6",56.6,26.9,25,0.049410548695,21.252,129.908,800,39.528438956,103926.4,49884.672,1.93438289140886,9.75541098526966,18.0122692119204,27.5598941500818,3.98975965711804,7.9074338559751,11.9404916381836,-0.968366563585278,1.20201153790504,4.00561472574918,13.7005864800344,26.8143989619501,40.836009385851
"T2",20,2,1,3.30687830687831,1,1,3.30687830687831,1,0,0,0,0,0,0,0,0,0,0.049410548695,21.252,800,39.528438956,103926.4,49884.672,"Upslope","36.6",56.6,26.9,25,0.049410548695,21.252,129.908,800,39.528438956,103926.4,49884.672,22.3371409406582,9.75541098526966,18.0122692119204,27.5598941500818,3.98975965711804,7.9074338559751,11.9404916381836,-0.968366563585278,1.20201153790504,4.00561472574918,13.7005864800344,26.8143989619501,40.836009385851
"T2",35,2,1,3.30687830687831,1,0,0,0,1,3.30687830687831,1,0,0,0,0,0,0,0.049410548695,21.252,800,39.528438956,103926.4,49884.672,"Upslope","36.6",56.6,26.9,25,0.049410548695,21.252,129.908,800,39.528438956,103926.4,49884.672,80.2208486229472,9.75541098526966,18.0122692119204,27.5598941500818,3.98975965711804,7.9074338559751,11.9404916381836,-0.968366563585278,1.20201153790504,4.00561472574918,13.7005864800344,26.8143989619501,40.836009385851
"T2",5,1,3,19.8412698412698,1,3,19.8412698412698,1,0,0,0,0,0,0,0,0,0,0.049410548695,21.252,800,39.528438956,103926.4,49884.672,"Upslope","36.6",56.6,26.9,25,0.049410548695,21.252,129.908,800,39.528438956,103926.4,49884.672,0.633742207228352,9.75541098526966,18.0122692119204,27.5598941500818,3.98975965711804,7.9074338559751,11.9404916381836,-0.968366563585278,1.20201153790504,4.00561472574918,13.7005864800344,26.8143989619501,40.836009385851
"T2",50,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049410548695,21.252,800,39.528438956,103926.4,49884.672,"Upslope","36.6",56.6,26.9,25,0.049410548695,21.252,129.908,800,39.528438956,103926.4,49884.672,154.109084004108,9.75541098526966,18.0122692119204,27.5598941500818,3.98975965711804,7.9074338559751,11.9404916381836,-0.968366563585278,1.20201153790504,4.00561472574918,13.7005864800344,26.8143989619501,40.836009385851
"T2",75,6,1,1.10229276895944,1,1,1.10229276895944,1,0,0,0,0,0,0,0,0,0,0.049410548695,21.252,800,39.528438956,103926.4,49884.672,"Upslope","36.6",56.6,26.9,25,0.049410548695,21.252,129.908,800,39.528438956,103926.4,49884.672,255.055375532663,9.75541098526966,18.0122692119204,27.5598941500818,3.98975965711804,7.9074338559751,11.9404916381836,-0.968366563585278,1.20201153790504,4.00561472574918,13.7005864800344,26.8143989619501,40.836009385851
"T3",100,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029579641455,18.78,900,26.6216773095,32785.2,24916.752,"Upslope",NA,NA,NA,25,0.029579641455,18.78,36.428,900,26.6216773095,32785.2,24916.752,-4.97479679609114,11.4484859433223,13.1155662364438,14.291811413505,5.57283715142148,5.86543090820318,6.17788957383902,0.518136223687634,2.19285011574099,3.20220916748076,17.6450911458332,19.8451714409721,22.1587255859372
"T3",20,2,1,3.30687830687831,1,1,3.30687830687831,1,0,0,0,0,0,0,0,0,0,0.029579641455,18.78,900,26.6216773095,32785.2,24916.752,"Upslope",NA,NA,NA,25,0.029579641455,18.78,36.428,900,26.6216773095,32785.2,24916.752,17.6008128156582,11.4484859433223,13.1155662364438,14.291811413505,5.57283715142148,5.86543090820318,6.17788957383902,0.518136223687634,2.19285011574099,3.20220916748076,17.6450911458332,19.8451714409721,22.1587255859372
"T3",35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029579641455,18.78,900,26.6216773095,32785.2,24916.752,"Upslope",NA,NA,NA,25,0.029579641455,18.78,36.428,900,26.6216773095,32785.2,24916.752,70.6590810448222,11.4484859433223,13.1155662364438,14.291811413505,5.57283715142148,5.86543090820318,6.17788957383902,0.518136223687634,2.19285011574099,3.20220916748076,17.6450911458332,19.8451714409721,22.1587255859372
